Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,83.160004,84.480003,80.750000,84.239998,83.493935,2767000
2023-10-31,83.860001,85.180000,83.180000,85.050003,84.296768,2099300
2023-11-01,85.419998,85.419998,82.800003,84.980003,84.227386,1658400
2023-11-02,86.150002,87.139999,85.349998,86.519997,85.753746,1320800
2023-11-03,88.000000,90.919998,87.970001,88.870003,88.082939,1598700
2023-11-06,88.750000,88.750000,85.959999,86.680000,85.912331,1083600
2023-11-07,86.239998,86.690002,85.099998,85.730003,84.970749,1208500
2023-11-08,85.650002,86.019997,84.930000,85.650002,84.891457,813200
2023-11-09,86.570000,86.690002,83.459999,84.250000,83.503853,1270800
2023-11-10,85.070000,85.529999,83.330002,85.070000,84.316589,1098500
2023-11-13,84.790001,84.989998,83.849998,84.089996,83.345268,1115200
2023-11-14,86.800003,90.379997,86.690002,89.050003,88.261345,2016300
2023-11-15,89.559998,91.580002,89.559998,90.349998,89.549828,1245100
2023-11-16,89.980003,90.800003,89.230003,90.099998,89.302040,956500
2023-11-17,91.000000,91.790001,90.250000,91.760002,90.947342,1013300
2023-11-20,91.510002,92.269997,90.699997,91.540001,90.729294,1113600
2023-11-21,90.860001,91.050003,88.349998,89.260002,88.469482,1041300
2023-11-22,89.750000,90.080002,88.709999,89.739998,88.945229,1114400
2023-11-24,89.629997,91.629997,89.360001,91.410004,90.600441,643800
2023-11-27,90.769997,91.769997,90.419998,90.430000,89.629120,1525700
2023-11-28,90.300003,90.760002,89.209999,90.400002,89.599388,1178500
2023-11-29,91.720001,92.309998,91.029999,91.459999,90.649994,1066100
2023-11-30,91.089996,91.500000,89.370003,90.900002,90.900002,1162100
2023-12-01,90.949997,93.830002,90.650002,93.779999,93.779999,1196900
2023-12-04,92.900002,94.639999,92.370003,94.129997,94.129997,1373700
2023-12-05,93.519997,93.519997,91.309998,91.360001,91.360001,1398800
2023-12-06,92.360001,94.230003,92.320000,92.709999,92.709999,1058000
2023-12-07,92.860001,93.820000,92.250000,93.150002,93.150002,1157900
2023-12-08,92.269997,93.730003,91.910004,92.849998,92.849998,1636300
2023-12-11,92.790001,93.510002,92.480003,92.870003,92.870003,848100
2023-12-12,92.690002,92.949997,92.019997,92.599998,92.599998,1213200
2023-12-13,92.519997,97.720001,92.019997,96.519997,96.519997,2300300
2023-12-14,96.000000,102.930000,95.860001,101.489998,101.489998,2858000
2023-12-15,101.440002,101.820000,97.779999,98.629997,98.629997,2939600
2023-12-18,98.440002,98.440002,97.089996,97.279999,97.279999,1013700
2023-12-19,98.089996,98.449997,96.620003,97.099998,97.099998,1126600
2023-12-20,97.160004,98.769997,95.940002,96.150002,96.150002,1262800
2023-12-21,97.610001,97.940002,95.949997,96.919998,96.919998,1338100
2023-12-22,97.309998,98.980003,97.000000,98.160004,98.160004,983700
2023-12-26,98.150002,99.279999,97.739998,98.809998,98.809998,843500
2023-12-27,99.010002,99.129997,98.209999,98.730003,98.730003,555000
2023-12-28,98.370003,99.339996,98.000000,99.099998,99.099998,519000
2023-12-29,98.660004,99.099998,97.800003,98.099998,98.099998,769600
2024-01-02,97.250000,98.629997,96.769997,98.199997,98.199997,1281500
2024-01-03,96.589996,96.970001,93.900002,94.099998,94.099998,1397700
2024-01-04,94.099998,94.980003,93.730003,94.320000,94.320000,860600
2024-01-05,93.930000,96.580002,93.720001,95.510002,95.510002,1125000
2024-01-08,96.010002,97.839996,96.010002,97.839996,97.839996,1246927
